path	line_at_phase0	symbol
crates/keycompute-server/src/middleware.rs	1840	SystemAdmin
crates/keycompute-server/src/middleware.rs	1851	SystemAdmin
crates/keycompute-server/src/middleware.rs	3434	SystemAdmin
crates/keycompute-server/src/middleware.rs	3450	SystemAdmin
crates/keycompute-server/src/middleware.rs	3456	is_admin(
crates/keycompute-server/src/middleware.rs	3760	SystemAdmin
crates/keycompute-server/src/middleware.rs	3781	SystemAdmin
crates/keycompute-types/src/lib.rs	59	AssignableUserRole;UserRole
crates/keycompute-types/src/tenant.rs	68	tenant_id: Option<
crates/keycompute-types/src/user.rs	61	UserRole
crates/keycompute-types/src/user.rs	67	UserRole
crates/keycompute-types/src/user.rs	69	UserRole
crates/keycompute-types/src/user.rs	71	is_admin(
crates/keycompute-types/src/user.rs	72	UserRole
crates/keycompute-types/src/user.rs	79	AssignableUserRole
crates/keycompute-types/src/user.rs	84	AssignableUserRole
crates/keycompute-types/src/user.rs	86	AssignableUserRole;UserRole
crates/keycompute-types/src/user.rs	87	AssignableUserRole
crates/keycompute-types/src/user.rs	89	AssignableUserRole;UserRole
crates/keycompute-types/src/user.rs	90	AssignableUserRole;UserRole
crates/keycompute-types/src/user.rs	97	AssignableUserRole;UserRole
crates/keycompute-types/src/user.rs	101	UserRole
crates/keycompute-types/src/user.rs	102	UserRole
crates/keycompute-types/src/user.rs	103	UserRole
crates/keycompute-types/src/user.rs	108	UserRole
crates/keycompute-types/src/user.rs	117	UserRole
crates/keycompute-types/src/user.rs	120	UserRole
crates/keycompute-types/src/user.rs	121	UserRole
crates/keycompute-types/src/user.rs	127	AssignableUserRole
crates/keycompute-types/src/user.rs	128	AssignableUserRole
crates/keycompute-types/src/user.rs	131	AssignableUserRole
crates/keycompute-types/src/user.rs	132	AssignableUserRole
crates/keycompute-types/src/user.rs	138	AssignableUserRole
crates/keycompute-types/src/user.rs	146	AssignableUserRole
crates/keycompute-types/src/user.rs	149	AssignableUserRole
crates/keycompute-types/src/user.rs	150	AssignableUserRole
crates/keycompute-types/src/user.rs	155	AssignableUserRole;UserRole
crates/keycompute-types/src/user.rs	156	UserRole
packages/client-api/src/api/admin/account.rs	250	tenant_id: Option<
packages/client-api/src/api/admin/model_catalog.rs	21	tenant_id: Option<
packages/client-api/src/api/admin/model_catalog.rs	88	tenant_id: Option<
packages/client-api/src/api/admin/monitoring.rs	182	tenant_id: Option<
packages/client-api/src/api/admin/passthrough_binding.rs	123	tenant_id: Option<
packages/client-api/src/api/admin/payment.rs	83	tenant_id: Option<
packages/client-api/src/api/admin/pricing.rs	39	tenant_id: Option<
packages/client-api/src/api/admin/pricing.rs	119	tenant_id: Option<
packages/client-api/src/api/admin/pricing.rs	238	tenant_id: Option<
packages/client-api/src/api/admin/user.rs	3	AssignableUserRole;UserRole
packages/client-api/src/api/admin/user.rs	12	tenant_id: Option<
packages/client-api/src/api/admin/user.rs	14	UserRole
packages/client-api/src/api/admin/user.rs	35	UserRole
packages/client-api/src/api/admin/user.rs	121	AssignableUserRole
packages/client-api/src/api/admin/user.rs	124	tenant_id: Option<
packages/client-api/src/api/admin/user.rs	137	AssignableUserRole
packages/client-api/src/api/admin/user.rs	157	tenant_id: Option<
packages/client-api/src/lib.rs	52	AssignableUserRole;UserRole
packages/client-api/tests/admin_test.rs	3	AssignableUserRole
packages/client-api/tests/admin_test.rs	178	AssignableUserRole
packages/web/src/app.rs	287	is_admin(
packages/web/src/app.rs	479	is_admin(
packages/web/src/app.rs	485	is_admin(
packages/web/src/i18n/en.rs	1637	users.role
packages/web/src/i18n/en.rs	1638	users.role
packages/web/src/i18n/en.rs	1639	users.role
packages/web/src/i18n/zh.rs	1420	users.role
packages/web/src/i18n/zh.rs	1421	users.role
packages/web/src/i18n/zh.rs	1422	users.role
packages/web/src/stores/user_store.rs	19	is_admin(
packages/web/src/stores/user_store.rs	74	is_admin(
packages/web/src/stores/user_store.rs	77	is_admin(
packages/web/src/utils/display.rs	67	users.role
packages/web/src/utils/display.rs	68	users.role
packages/web/src/utils/display.rs	69	users.role
packages/web/src/views/dashboard/mod.rs	29	is_admin(
packages/web/src/views/shared/accounts.rs	280	is_admin(
packages/web/src/views/shared/distribution_records.rs	31	is_admin(
packages/web/src/views/shared/monitoring.rs	102	is_admin(
packages/web/src/views/shared/monitoring.rs	134	is_admin(
packages/web/src/views/shared/node_gateway.rs	53	is_admin(
packages/web/src/views/shared/payment_orders.rs	34	is_admin(
packages/web/src/views/shared/pricing.rs	88	is_admin(
packages/web/src/views/shared/settings.rs	20	is_admin(
packages/web/src/views/shared/system.rs	276	is_admin(
packages/web/src/views/shared/tenants.rs	67	is_admin(
packages/web/src/views/shared/users.rs	2	AssignableUserRole;UserRole
packages/web/src/views/shared/users.rs	1174	is_admin(
packages/web/src/views/shared/users.rs	1201	UserRole
packages/web/src/views/shared/users.rs	1380	AssignableUserRole
packages/web/src/views/shared/users.rs	1436	UserRole
packages/web/src/views/shared/users.rs	1437	UserRole
packages/web/src/views/shared/users.rs	1442	UserRole
packages/web/src/views/shared/users.rs	1815	UserRole
packages/web/src/views/shared/users.rs	1924	UserRole
packages/web/src/views/shared/users.rs	1941	UserRole
packages/web/src/views/shared/users.rs	1970	UserRole
packages/web/src/views/shared/users.rs	1971	UserRole
packages/web/src/views/shared/users.rs	2058	users.role
packages/web/src/views/shared/users.rs	2059	users.role
